,Pub,Counts
0,US-5223409-A,3974
1,US-5530101-A,3630
2,US-5143854-A,3037
3,US-5225539-A,3006
4,US-5247190-A,2928
5,US-5084057-A,2673
6,US-5042707-A,2568
7,US-5569825-A,2535
8,US-5103459-A,2497
9,US-5103459-B1,2497
10,US-5129570-A,2492
11,US-5065929-A,2320
12,US-5104025-A,2260
13,US-5289963-A,2126
14,US-RE34519-E,2107
15,US-5171247-A,2014
16,US-5192327-A,1923
17,US-5190517-A,1920
18,US-5234447-A,1918
19,US-5253793-A,1914
0,US-5403312-A,3683
1,US-5383880-A,3072
2,US-5389098-A,2979
3,US-5312023-A,2962
4,US-5545806-A,2929
5,US-5433721-A,2903
6,US-5205459-A,2588
7,US-5496312-A,2515
8,US-5307976-A,2503
9,US-5633425-A,2441
10,US-5497933-A,2436
11,US-5445934-A,2397
12,US-5304719-A,2395
13,US-5367109-A,2389
14,US-5542594-A,2372
15,US-5487499-A,2372
16,US-5395030-A,2367
17,US-5397324-A,2361
18,US-5411508-A,2330
19,US-5608872-A,2305
0,US-5523520-A,5673
1,US-5585089-A,4005
2,US-5693762-A,3004
3,US-5740549-A,2983
4,US-5465895-A,2876
5,US-5724521-A,2847
6,US-5632432-A,2827
7,US-5754939-A,2751
8,US-5624452-A,2711
9,US-5597107-A,2678
10,US-5742905-A,2644
11,US-5794210-A,2615
12,US-5601224-A,2570
13,US-5735848-A,2567
14,US-5710887-A,2561
15,US-5572643-A,2547
16,US-5779130-A,2482
17,US-5715314-A,2463
18,US-5833695-A,2445
19,US-5655961-A,2441
0,US-5892900-A,5321
1,US-5731856-A,4115
2,US-5744864-A,3973
3,US-5948061-A,3376
4,US-5794207-A,3282
5,US-5948040-A,3261
6,US-5704534-A,3170
7,US-5848396-A,3132
8,US-6029195-A,3100
9,US-5865361-A,3012
10,US-5825352-A,2895
11,US-6029141-A,2821
12,US-5960411-A,2750
13,US-5792135-A,2632
14,US-5855601-A,2580
15,US-5716366-A,2569
16,US-5862325-A,2516
17,US-5762255-A,2504
18,US-6045560-A,2493
19,US-5821937-A,2449
0,US-6177931-B1,4130
1,US-6727522-B1,4075
2,US-6323846-B1,4066
3,US-6294274-B1,3951
4,US-2001046027-A1,3798
5,US-6175752-B1,3303
6,US-6226618-B1,2786
7,US-6010054-A,2764
8,US-6032849-A,2746
9,US-6443973-B1,2580
10,US-6352503-B1,2429
11,US-6188391-B1,2418
12,US-6506559-B1,2389
13,US-6331181-B1,2363
14,US-6698020-B1,2323
15,US-6606744-B1,2312
16,US-6325810-B1,2309
17,US-6535909-B1,2291
18,US-6233617-B1,2251
19,US-6264087-B1,2251
