,Pub,Time,Time_10,Time_90,Time_100
0,US-5545806-A,14,12,27,2
1,US-5403312-A,16,11,26,2
2,US-5633425-A,10,6,21,2
3,US-5661016-A,13,9,24,2
4,US-5565332-A,12,8,23,2
5,US-5821337-A,19,13,28,1
6,US-5383880-A,18,13,25,3
7,US-5312023-A,21,15,27,3
8,US-5389098-A,19,12,25,3
9,US-5433721-A,18,12,25,3
10,US-5445934-A,10,6,24,2
11,US-5205459-A,21,14,26,3
12,US-5307976-A,21,14,26,3
13,US-5403484-A,17,11,27,3
14,US-5496312-A,15,8,24,3
15,US-5497933-A,19,13,25,3
16,US-5415334-A,19,14,24,3
17,US-5285945-A,18,11,23,3
18,US-5542594-A,19,13,25,3
19,US-5395030-A,19,9,25,3
20,US-5487499-A,19,13,24,3
21,US-5304719-A,13,9,22,4
22,US-5397324-A,21,14,26,3
23,US-5367109-A,13,9,22,4
24,US-5571698-A,14,8,23,3
25,US-5411508-A,20,12,25,3
26,US-5484451-A,18,12,24,3
27,US-5608872-A,19,13,24,3
28,US-5939598-A,15,8,23,3
29,US-5483261-A,16,12,24,3
30,US-5318221-A,21,14,26,3
31,US-5391199-A,19,11,29,2
32,US-5520700-A,18,10,24,3
33,US-5649104-A,18,13,23,3
34,US-5326013-A,24,16,28,3
35,US-5330502-A,22,14,26,3
36,US-5484095-A,18,11,23,3
37,US-5400267-A,21,9,25,3
38,US-5425745-A,20,13,24,3
39,US-5278272-A,14,4,25,3
40,US-5410326-A,14,7,24,4
41,US-5493692-A,14,9,25,4
42,US-5497772-A,14,9,23,3
43,US-5636643-A,16,10,23,4
44,US-5271543-A,24,15,27,3
45,US-5560532-A,19,12,23,3
46,US-5485952-A,20,12,24,3
47,US-5725554-A,16,8,20,3
48,US-5443463-A,20,8,25,3
49,US-5309927-A,21,14,25,3
50,US-5602240-A,16,8,24,2
51,US-5242457-A,23,14,27,3
52,US-5397046-A,21,12,24,3
53,US-5223844-B1,15,7,24,6
54,US-5223844-A,15,7,24,6
55,US-5503320-A,21,14,25,3
56,US-5332142-A,22,15,27,3
57,US-5263629-A,23,15,27,3
58,US-5334183-A,20,10,25,3
59,US-5292053-A,22,10,26,3
60,US-5209747-A,22,11,27,3
61,US-5477012-A,13,7,16,12
62,US-5392979-A,20,11,24,3
63,US-5478003-A,22,15,25,3
64,US-5395312-A,21,9,25,3
65,US-5600364-A,12,6,20,7
66,US-5221036-A,22,16,26,3
67,US-5393057-A,16,11,23,8
68,US-5281216-A,21,8,26,3
69,US-5441193-A,21,14,25,3
70,US-5383874-A,21,9,25,3
71,US-5271544-A,22,15,26,3
72,US-5478354-A,20,9,24,3
73,US-5208020-A,21,12,27,2
74,US-5408409-A,26,15,29,3
75,US-5339799-A,21,11,25,3
76,US-5374564-A,14,7,22,4
77,US-5539082-A,19,10,27,2
78,US-5405344-A,22,13,25,3
79,US-5307263-A,14,8,23,4
80,US-5217457-A,22,9,26,3
81,US-5333773-A,23,14,27,3
82,US-5352229-A,22,12,25,3
83,US-5733743-A,15,7,21,3
84,US-5374277-A,23,14,26,3
85,US-6407213-B1,18,10,24,2
86,US-5468253-A,22,13,25,3
87,US-5275323-A,23,15,27,3
88,US-5383888-A,22,13,25,3
89,US-5368015-A,22,10,25,3
90,US-5474796-A,13,6,22,5
91,US-5366479-A,21,11,24,3
92,US-5195968-A,23,11,27,3
93,US-5381943-A,24,14,27,3
94,US-5814318-A,15,6,21,3
95,US-5413268-A,22,14,26,3
96,US-5503635-A,21,11,24,3
97,US-5381782-A,22,13,25,3
98,US-5512131-A,13,7,22,5
99,US-5246443-A,23,14,26,3
100,US-5484437-A,14,6,22,5
101,US-5376095-A,22,13,26,3
102,US-5562682-A,20,14,24,3
103,US-5364003-A,22,16,25,3
104,US-5314466-A,23,9,26,3
105,US-5331966-A,14,7,23,5
106,US-5395034-A,23,15,26,3
107,US-5348259-A,23,13,26,3
108,US-5332402-A,22,11,26,3
109,US-5304204-A,19,9,22,3
110,US-5405360-A,22,11,25,3
111,US-5405072-A,22,16,25,3
112,US-5350400-A,22,15,25,3
113,US-5312024-A,23,15,27,3
114,US-5358506-A,21,15,24,3
115,US-5449370-A,20,14,23,3
116,US-5192288-A,23,13,26,3
117,US-5282806-A,24,15,27,3
118,US-5341807-A,23,11,26,3
119,US-5403311-A,14,4,21,7
120,US-5370645-A,21,12,24,3
121,US-5401269-A,12,8,21,6
122,US-5336232-A,24,18,27,3
123,US-5431322-A,20,12,23,3
124,US-5441483-A,21,12,24,3
125,US-5527293-A,19,11,23,5
126,US-5364001-A,24,18,27,3
127,US-5465894-A,21,12,24,3
128,US-5259366-A,20,11,23,3
129,US-5342396-A,22,15,25,3
130,US-5415661-A,14,9,21,6
131,US-5407293-A,24,17,27,3
132,US-5379933-A,21,12,24,3
133,US-5344454-A,23,14,25,3
134,US-5441494-A,21,13,24,3
135,US-5264104-A,19,12,25,4
136,US-5321501-A,19,9,24,6
