,Pub,Time
0,US-5545806-A,14
1,US-5403312-A,16
2,US-5633425-A,10
3,US-5661016-A,13
4,US-5565332-A,12
5,US-5821337-A,19
6,US-5383880-A,18
7,US-5312023-A,21
8,US-5389098-A,19
9,US-5433721-A,18
10,US-5445934-A,10
11,US-5205459-A,21
12,US-5307976-A,21
13,US-5403484-A,17
14,US-5496312-A,15
15,US-5497933-A,19
16,US-5415334-A,19
17,US-5285945-A,18
18,US-5542594-A,19
19,US-5395030-A,19
20,US-5487499-A,19
21,US-5304719-A,13
22,US-5397324-A,21
23,US-5367109-A,13
24,US-5571698-A,14
25,US-5411508-A,20
26,US-5484451-A,18
27,US-5608872-A,19
28,US-5939598-A,15
29,US-5483261-A,16
30,US-5318221-A,21
31,US-5391199-A,19
32,US-5520700-A,18
33,US-5649104-A,18
34,US-5326013-A,24
35,US-5330502-A,22
36,US-5484095-A,18
37,US-5400267-A,21
38,US-5425745-A,20
39,US-5278272-A,14
40,US-5410326-A,14
41,US-5493692-A,14
42,US-5497772-A,14
43,US-5636643-A,16
44,US-5271543-A,24
45,US-5560532-A,19
46,US-5485952-A,20
47,US-5725554-A,16
48,US-5443463-A,20
49,US-5309927-A,21
50,US-5602240-A,16
51,US-5242457-A,23
52,US-5397046-A,21
53,US-5223844-B1,15
54,US-5223844-A,15
55,US-5503320-A,21
56,US-5332142-A,22
57,US-5263629-A,23
58,US-5334183-A,20
59,US-5292053-A,22
60,US-5209747-A,22
61,US-5477012-A,13
62,US-5392979-A,20
63,US-5478003-A,22
64,US-5395312-A,21
65,US-5600364-A,12
66,US-5221036-A,22
67,US-5393057-A,16
68,US-5281216-A,21
69,US-5441193-A,21
70,US-5383874-A,21
71,US-5271544-A,22
72,US-5478354-A,20
73,US-5208020-A,21
74,US-5408409-A,26
75,US-5339799-A,21
76,US-5374564-A,14
77,US-5539082-A,19
78,US-5405344-A,22
79,US-5307263-A,14
80,US-5217457-A,22
81,US-5333773-A,23
82,US-5352229-A,22
83,US-5733743-A,15
84,US-5374277-A,23
85,US-6407213-B1,18
86,US-5468253-A,22
87,US-5275323-A,23
88,US-5383888-A,22
89,US-5368015-A,22
90,US-5474796-A,13
91,US-5366479-A,21
92,US-5195968-A,23
93,US-5381943-A,24
94,US-5814318-A,15
95,US-5413268-A,22
96,US-5503635-A,21
97,US-5381782-A,22
98,US-5512131-A,13
99,US-5246443-A,23
100,US-5484437-A,14
101,US-5376095-A,22
102,US-5562682-A,20
103,US-5364003-A,22
104,US-5314466-A,23
105,US-5331966-A,14
106,US-5395034-A,23
107,US-5348259-A,23
108,US-5332402-A,22
109,US-5304204-A,19
110,US-5405360-A,22
111,US-5405072-A,22
112,US-5350400-A,22
113,US-5312024-A,23
114,US-5358506-A,21
115,US-5449370-A,20
116,US-5192288-A,23
117,US-5282806-A,24
118,US-5341807-A,23
119,US-5403311-A,14
120,US-5370645-A,21
121,US-5401269-A,12
122,US-5336232-A,24
123,US-5431322-A,20
124,US-5441483-A,21
125,US-5527293-A,19
126,US-5364001-A,24
127,US-5465894-A,21
128,US-5259366-A,20
129,US-5342396-A,22
130,US-5415661-A,14
131,US-5407293-A,24
132,US-5379933-A,21
133,US-5344454-A,23
134,US-5441494-A,21
135,US-5264104-A,19
136,US-5321501-A,19
137,US-5330486-A,23
138,US-5542949-A,20
139,US-5342047-A,16
140,US-5489677-A,22
141,US-5236440-A,22
142,US-5342395-A,21
143,US-6210403-B1,17
144,US-5342381-A,22
145,US-5270163-A,18
146,US-5464300-A,22
147,US-5321816-A,24
148,US-5470006-A,22
149,US-5400246-A,19
150,US-5299571-A,20
151,US-5389104-A,22
152,US-5350391-A,22
153,US-5587458-A,22
154,US-5353121-A,15
155,US-5275322-A,21
156,US-5290310-A,25
157,US-5544347-A,19
158,US-5550677-A,22
159,US-5277201-A,16
160,US-5284128-A,24
161,US-5605662-A,14
162,US-5383851-A,22
163,US-5431668-A,22
164,US-5356786-A,20
165,US-5399491-A,23
166,US-5290271-A,24
167,US-5409498-A,24
168,US-6083191-A,15
169,US-5447513-A,22
170,US-5454101-A,23
171,US-5423471-A,23
172,US-5352238-A,22
173,US-5490505-A,19
174,US-5422567-A,22
