,Pub,Time
0,US-5545806-A,12
1,US-5403312-A,11
2,US-5633425-A,6
3,US-5661016-A,9
4,US-5565332-A,8
5,US-5821337-A,13
6,US-5383880-A,13
7,US-5312023-A,15
8,US-5389098-A,12
9,US-5433721-A,12
10,US-5445934-A,6
11,US-5205459-A,14
12,US-5307976-A,14
13,US-5403484-A,11
14,US-5496312-A,8
15,US-5497933-A,13
16,US-5415334-A,14
17,US-5285945-A,11
18,US-5542594-A,13
19,US-5395030-A,9
20,US-5487499-A,13
21,US-5304719-A,9
22,US-5397324-A,14
23,US-5367109-A,9
24,US-5571698-A,8
25,US-5411508-A,12
26,US-5484451-A,12
27,US-5608872-A,13
28,US-5939598-A,8
29,US-5483261-A,12
30,US-5318221-A,14
31,US-5391199-A,11
32,US-5520700-A,10
33,US-5649104-A,13
34,US-5326013-A,16
35,US-5330502-A,14
36,US-5484095-A,11
37,US-5400267-A,9
38,US-5425745-A,13
39,US-5278272-A,4
40,US-5410326-A,7
41,US-5493692-A,9
42,US-5497772-A,9
43,US-5636643-A,10
44,US-5271543-A,15
45,US-5560532-A,12
46,US-5485952-A,12
47,US-5725554-A,8
48,US-5443463-A,8
49,US-5309927-A,14
50,US-5602240-A,8
51,US-5242457-A,14
52,US-5397046-A,12
53,US-5223844-B1,7
54,US-5223844-A,7
55,US-5503320-A,14
56,US-5332142-A,15
57,US-5263629-A,15
58,US-5334183-A,10
59,US-5292053-A,10
60,US-5209747-A,11
61,US-5477012-A,7
62,US-5392979-A,11
63,US-5478003-A,15
64,US-5395312-A,9
65,US-5600364-A,6
66,US-5221036-A,16
67,US-5393057-A,11
68,US-5281216-A,8
69,US-5441193-A,14
70,US-5383874-A,9
71,US-5271544-A,15
72,US-5478354-A,9
73,US-5208020-A,12
74,US-5408409-A,15
75,US-5339799-A,11
76,US-5374564-A,7
77,US-5539082-A,10
78,US-5405344-A,13
79,US-5307263-A,8
80,US-5217457-A,9
81,US-5333773-A,14
82,US-5352229-A,12
83,US-5733743-A,7
84,US-5374277-A,14
85,US-6407213-B1,10
86,US-5468253-A,13
87,US-5275323-A,15
88,US-5383888-A,13
89,US-5368015-A,10
90,US-5474796-A,6
91,US-5366479-A,11
92,US-5195968-A,11
93,US-5381943-A,14
94,US-5814318-A,6
95,US-5413268-A,14
96,US-5503635-A,11
97,US-5381782-A,13
98,US-5512131-A,7
99,US-5246443-A,14
100,US-5484437-A,6
101,US-5376095-A,13
102,US-5562682-A,14
103,US-5364003-A,16
104,US-5314466-A,9
105,US-5331966-A,7
106,US-5395034-A,15
107,US-5348259-A,13
108,US-5332402-A,11
109,US-5304204-A,9
110,US-5405360-A,11
111,US-5405072-A,16
112,US-5350400-A,15
113,US-5312024-A,15
114,US-5358506-A,15
115,US-5449370-A,14
116,US-5192288-A,13
117,US-5282806-A,15
118,US-5341807-A,11
119,US-5403311-A,4
120,US-5370645-A,12
121,US-5401269-A,8
122,US-5336232-A,18
123,US-5431322-A,12
124,US-5441483-A,12
125,US-5527293-A,11
126,US-5364001-A,18
127,US-5465894-A,12
128,US-5259366-A,11
129,US-5342396-A,15
130,US-5415661-A,9
131,US-5407293-A,17
132,US-5379933-A,12
133,US-5344454-A,14
134,US-5441494-A,13
135,US-5264104-A,12
136,US-5321501-A,9
137,US-5330486-A,9
138,US-5542949-A,10
139,US-5342047-A,10
140,US-5489677-A,11
141,US-5236440-A,14
142,US-5342395-A,12
143,US-6210403-B1,11
144,US-5342381-A,11
145,US-5270163-A,5
146,US-5464300-A,16
147,US-5321816-A,12
148,US-5470006-A,15
149,US-5400246-A,7
150,US-5299571-A,12
151,US-5389104-A,12
152,US-5350391-A,14
153,US-5587458-A,12
154,US-5353121-A,3
155,US-5275322-A,8
156,US-5290310-A,12
157,US-5544347-A,7
158,US-5550677-A,9
159,US-5277201-A,6
160,US-5284128-A,14
161,US-5605662-A,5
162,US-5383851-A,11
163,US-5431668-A,14
164,US-5356786-A,12
165,US-5399491-A,13
166,US-5290271-A,12
167,US-5409498-A,16
168,US-6083191-A,10
169,US-5447513-A,15
170,US-5454101-A,15
171,US-5423471-A,18
172,US-5352238-A,16
173,US-5490505-A,11
174,US-5422567-A,13
