,Pub,Time,Time_10,Time_90,Time_100
0,US-6323846-B1,10,9,21,2
1,US-6177931-B1,8,5,20,4
2,US-6727522-B1,10,9,17,3
3,US-6294274-B1,9,8,16,3
4,US-2001046027-A1,11,9,17,3
5,US-6175752-B1,9,6,19,3
6,US-6506559-B1,7,4,17,4
7,US-6226618-B1,8,5,18,6
8,US-6010054-A,13,7,19,3
9,US-6032849-A,13,7,19,3
10,US-6443973-B1,15,10,20,3
11,US-6352503-B1,12,5,19,3
12,US-6331181-B1,15,9,20,3
13,US-6231565-B1,15,10,19,3
14,US-6325810-B1,14,9,19,3
15,US-6188391-B1,13,9,20,3
16,US-6364888-B1,15,10,19,3
17,US-6698020-B1,10,4,20,3
18,US-6606744-B1,8,3,20,2
19,US-6194551-B1,14,7,21,2
20,US-6264087-B1,14,8,19,3
21,US-6535909-B1,14,7,19,3
22,US-6174309-B1,15,6,20,3
23,US-6601087-B1,15,11,20,3
24,US-6654032-B1,15,11,20,3
25,US-6233617-B1,15,11,20,3
26,US-6097147-A,14,7,22,3
27,US-6560461-B1,15,11,20,3
28,US-6519571-B1,10,5,22,2
29,US-6436107-B1,14,6,18,3
30,US-5963953-A,17,12,22,3
31,US-6393605-B1,15,11,20,3
32,US-6574635-B2,16,11,20,3
33,US-6011725-A,7,4,14,9
34,US-6367077-B1,15,11,20,3
35,US-6086544-A,16,8,21,3
36,US-6400996-B1,10,5,19,4
37,US-6202914-B1,13,6,17,3
38,US-6571282-B1,16,9,22,3
39,US-6315184-B1,14,9,19,3
40,US-6324693-B1,17,12,21,3
41,US-6374336-B1,16,8,21,3
42,US-6189011-B1,17,12,21,3
43,US-6321158-B1,9,4,19,4
44,US-6266669-B1,16,12,20,3
45,US-6079606-A,15,7,19,3
46,US-6099551-A,18,12,23,3
47,US-6216135-B1,16,11,20,3
48,US-6092083-A,17,12,21,3
49,US-6385596-B1,9,3,19,5
50,US-2002072951-A1,16,11,20,3
51,US-6446089-B1,15,10,19,3
52,US-6178425-B1,16,11,20,3
53,US-6324568-B1,15,10,19,3
54,US-6571279-B1,11,5,20,5
55,US-6728960-B1,14,10,18,3
56,US-6024699-A,10,5,20,3
57,US-6549908-B1,13,9,17,3
58,US-6621834-B1,15,11,19,3
59,US-6269361-B1,9,4,15,6
60,US-6786896-B1,15,8,18,3
61,US-6120676-A,12,6,19,3
62,US-6126058-A,17,9,20,3
63,US-6168614-B1,15,7,22,3
64,US-6087196-A,16,6,22,3
65,US-6458153-B1,15,5,19,3
66,US-6063097-A,13,7,17,3
67,US-6554798-B1,18,11,24,3
68,US-6611537-B1,17,6,21,2
69,US-6818018-B1,15,7,18,3
70,US-6103033-A,12,6,19,3
71,US-6134461-A,12,6,20,3
72,US-6034882-A,8,2,14,7
73,US-6071267-A,16,9,21,4
